Title,Company,Location,Date,Link
"[에코마케팅] 백엔드 개발자(Python, Java) 신입/경력사원 채용",(주)에코마케팅,서울 송파구,내일마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51178405&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
"[개발팀] 서비스 개발(Back-end, python)",오아(주),서울 서초구,~ 07/26(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51137408&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
2025년 하반기 딥러닝/머신러닝/연구원/Python外 모집 공고,한림대학교산학협력단,서울 영등포구,~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51263475&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
[재택근무] REACT · PHP · PYTHON 개발자 모집,행복쇼핑(주),서울 양천구,~ 07/22(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50857996&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
AI 기반 기상 데이터 분석 연구원(Python/딥러닝),(주)인이지,제주 서귀포시,~ 07/16(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51263132&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
파이썬(Python) 개발자 채용 (신입/경력),(주)폴라리스투자자문,서울 영등포구,~ 07/16(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51230094&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
마켓빌리 JAVA / DBA / TA / AA / PYTHON Recruitment,플러거,서울 구로구,~ 07/26(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51131686&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
[Python] 엔지엘 기업부설연구소 AI 개발자 모집,엔지엘㈜,부산 동구,~ 07/27(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51143590&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
파이썬(Python) 기반의 풀스택 개발자 모십니다.,(주)케이엘피,서울 강남구,내일마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51263169&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
"머신비전  개발자 , C/C++/C#, OpenCV, MIL, PYTHON, 딥러닝, AI",(주)핸디비전,경기 수원시 영통구,~ 08/05(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51220797&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
"[플랜아이] 개발자 채용 PHP WEB, AI(Python)",(주)플랜아이,대전 유성구,~ 07/25(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50872120&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
AI서비스개발 - Python/웹개발자 모집 (신입/경력),(주)에이에스피엔,서울 서초구,~ 08/02(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51200227&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
DJANGO / PYTHON / JSP IT개발·데이터 신입&경력 채용,클립데이터(주),서울 강서구,~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51220798&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
[알고리즘 개발자] AI비전검사/컴퓨터비전(C/C++/Python/CUDA),(주)키스템프그룹,경기 성남시 분당구,오늘마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51143201&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
[4200-5300협의+a] 유명강소기업 풀스택 개발(ERP/WMS/Python),(주)키스템프그룹,서울 은평구,~ 07/15(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51266786&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
[Python 기반] 내비게이션 테스트 자동화 스크립트 개발,(주)모디엠,서울 성동구,~ 07/17(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51050354&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
Python 개발자 채용,(주)엠클라우독,서울 강남구,~ 07/18(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50810902&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
차량용 S/W Test 자동화 검증(Python),(주)링크제니시스,인천 서구,~ 08/10(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51275605&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
"[미소정보기술] JAVA, Python 및 인공지능(AI) 플랫폼 개발자",(주)미소정보기술,서울 강남구,~ 08/04(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50959470&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
데이터팀 Python 개발자 (3년차 이상),(주)왓섭,서울 영등포구,~ 08/06(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51231700&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
Python 웹서비스 백엔드 개발,(주)에이아이썸,서울 강남구,~ 07/30(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51171417&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
웹 풀스택 개발자 (Python / FastAPI / Javascript)  채용,(주)인터로이드,서울 강남구,~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51227282&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
보안회사 파이선(python) 자바 java 서버 개발 엔지니어,(주)비비파트너스,서울 강남구,~ 08/07(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51273744&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
ROS 기반 로봇/UGV 개발자 모집 (Python 외),(주)키네틱스,대전 유성구,~ 08/10(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51003706&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
[솔루션] 백엔드 개발자 모집(python),조베이스(주),서울 관악구,~ 07/30(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51162894&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
데이터 수집 개발자 모집(Python 기반)(취업축하금),(주)밸류어블,서울 서초구,~ 08/03(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51209345&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
국가연구과제 개발자 모집(Python/Pytorch/API/JAVA/React),(주)케파스,서울 강남구,~ 08/01(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51184917&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
[테나아이] 백엔드(Python) 개발자 모집,(주)테나아이,서울 서초구,~ 07/26(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51138908&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
[생성AI 스타트업] Python 백엔드 엔지니어,(주)커넥트브릭,서울 마포구,~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51178228&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
경기남부직업능력개발원 OA/전산회계/CAD/인공지능(Python) 강사,경기남부직업능력개발원,경기 화성시,~ 09/07(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51254243&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
"Java, Python, CMS 웹응용프로그램 개발자 모집",부산인터넷방송국,부산 부산진구,~ 07/30(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51160553&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
"웹개발(Python,PHP/Java·JSP/백엔드) 채용",한강시스템(주),서울 동작구,~ 07/24(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51109632&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
"[이천 하이닉스] JAVA, Python 개발자 프리랜서 채용",위버로프트(주),서울 구로구,~ 07/19(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51200725&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
"[이천 하이닉스] JAVA, Python 개발자 정규직 채용",위버로프트(주),서울 구로구,~ 07/19(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51201383&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
Python 백엔드 개발자 (3년차 이상),(주)왓섭,서울 영등포구,~ 08/06(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51231661&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
국내 광고 포털 유지 보수 및 신규 서비스 개발 (Python),(주)애드크림,서울 강남구,~ 08/15(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51264343&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
Back-End 개발자 모집(JAVA/Go/Python),(주)원모어시큐리티,세종특별자치시,~ 08/11(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51009501&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
Flutter &  Python 백앤드 개발자 모집,(주)스마트마켓서비스,서울 구로구,~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51179112&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
AI서비스개발 - Python/웹개발자 모집,(주)에이에스피엔,서울 서초구,~ 08/10(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51200160&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
[덱스터크레마/경력] Python 개발자 채용,(주)덱스터크레마,서울 강남구,~ 08/09(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50993044&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
